topic,correlation
-1,-0.09612610897544693
0,0.04636507663821573
1,0.00010946933164868533
2,-0.023065780293572088
3,0.02457578307499009
4,0.08456956437810671
5,0.006983267351007486
6,0.14899888391194
7,-0.05076182885924471
8,0.12139844262992883
9,-0.12434710892557341
10,-0.03574874709793869
11,0.0753328245355732
12,0.1700720899677391
13,0.011343150978101853
14,0.07492267287825499
15,-0.17019488691958704
16,-0.10275735175195229
17,-0.07424567963875148
18,-0.1600003687940762
19,-0.07402492551153009
20,0.13901662951917473
21,0.20967514405750634
22,0.028033218506803265
23,-0.16956986071603977
24,0.03264520535997593
25,-0.01804975896170361
26,0.042211243126386855
27,0.04216187041257977
28,-0.02888527989593959
29,-0.1932173014227239
30,0.04848574110944031
31,-0.3052677141123476
32,-0.15562429289800755
33,-0.45964942281824855
34,-0.002355432500453345
35,0.013535114012698173
36,0.2732112665682409
37,0.1782886982803893
38,0.1943898544364482
39,-0.15280373132956676
40,-0.14699372303041916
41,-0.18939078019790054
42,0.13216259826206633
43,0.20732583739947616
44,0.041672400373148046
45,-0.1380550660223741
46,0.25143939195791554
47,0.09197250236613955
48,0.1470490122830719
49,-0.06290205085000265
50,-0.14356386725389358
51,0.012427694563594435
52,-0.059397568089336994
53,-0.11554202493688498
54,0.13120678127644192
55,-0.051126307977416165
56,0.009527484636591891
57,-0.04680596842874228
58,0.02024522411805099
59,0.013765036237863912
60,-0.011102888372062645
61,-0.0657110601812403
62,-0.40204135063434954
63,0.11655854380190572
64,-0.23433261175842832
65,-0.0423544828559047
66,0.06997672988486882
67,0.20948945464332003
68,0.16092460376589582
69,-0.08774179362861646
70,-0.0037778654472662475
71,0.3469977487686074
72,-0.1540090769740591
73,-0.21965081269250838
74,-0.011050817456262612
75,0.16447301578355453
76,-0.3650105989348175
77,0.14128343035316246
78,-0.06350975431510075
79,-0.23274161144424585
80,0.23807453869467773
81,0.07069958925432686
82,-0.06704796901529088
83,-0.2718140327171374
84,0.10864213687707582
85,-0.07249900489412094
86,-0.015174715701509715
87,-0.025504237873998144
88,-0.11896367536244294
89,0.23035013666545248
90,0.022098878756136576
91,-0.21671486241550944
92,-0.11302645673463363
93,-0.11962678542437823
94,-0.16187496863739317
95,-0.26816214758330825
96,-0.302306503046706
97,-0.06661434255239436
98,-0.1402605512074287
99,0.181789819924141
100,-0.003486181453667516
101,-0.17372659271297272
102,0.22718929239685645
103,-0.1579188081589143
104,-0.022070660208313397
105,0.036879142711662066
106,-0.09427146705374484
107,-0.2306490767041632
108,-0.2364815977953052
109,0.06175875428405322
110,-0.15453005246790408
111,-0.15153689827416517
112,-0.10137711140109518
113,-0.19235502157268586
114,-0.007545458105408881
115,-0.008254809384824091
116,0.06689118470131761
117,-0.033184786149590584
118,0.23223673608451195
119,0.13526408970616807
120,0.08892740058811203
121,-0.21730230090559244
122,-0.1538124164401979
123,-0.08959395957556161
124,0.002024002589407783
125,0.36813030865895574
126,0.014734122615724753
127,0.050012756223527306
128,0.42136893463523395
129,-0.21377743255332893
130,-0.33935629655928223
131,0.049744096151071095
132,0.018099400680197334
133,0.035875707380861634
134,0.10296055816633508
135,0.17262122888506443
136,0.37670395214049096
137,0.10625298758413924
138,-0.14359323936251417
139,-0.02690901670893422
140,0.05589469588688231
141,-0.17872239256627864
142,-0.03597627067087117
143,0.10952217147217996
144,0.21723139127764973
145,0.01589791590140566
146,-0.0745958052886044
147,0.10565847541681206
148,
149,0.12171622870840025
150,-0.00537075129135204
151,0.2883161055961747
152,0.14039562473037684
153,-0.04586369291866963
154,0.22291282131226142
155,-0.27270305908920484
156,-0.24733077939521833
157,0.09330529423987627
158,-0.3062641284303259
159,-0.13171889228793118
160,0.17142790034116484
161,0.4234858776340402
162,-0.11172932866361152
163,0.014967862799520174
164,0.2948342461557337
165,0.018153627064929522
166,0.16773929042043254
167,0.037533686283301955
168,0.07800074539204979
169,-0.3410105705646371
170,-0.2484282358209565
171,-0.03791604669145345
172,-0.2157266606934604
173,-0.038178401100537905
174,0.29075029399496605
175,0.1437622785271527
176,0.3089063522979228
177,0.0030819668857984686
178,0.3209295241070063
179,-0.047994783657945086
180,-0.16447681185092425
181,0.07968955625394636
182,-0.30276757585811526
183,0.3496830189923433
184,-0.13207002948717939
185,-0.01989864845886804
186,0.2226309002943623
187,0.1892914588080796
188,-0.05150617173345855
189,0.07668714485620863
190,0.36191087378231784
191,-0.12671253706099678
192,-0.0038013785466593122
193,0.1843311230792149
194,0.07842380554425527
195,0.042938339132055164
196,-0.1654247951769826
197,-0.37674645715490807
198,-0.41083101992468063
199,-0.10308866517848099
200,-0.19269376249781883
201,-0.45545793299080284
202,0.1957061174557873
203,-0.02828321436280888
204,-0.14660499297337223
205,0.0940268390625793
206,0.015950223494880494
207,-0.1767239940293761
208,-0.4962401213148398
209,-0.17122255162308272
210,0.03388905695776501
211,-0.07686654921832543
212,0.14228179725300003
213,0.16365315953537912
214,0.04528533484898989
215,0.3141182481409664
216,-0.0616275738800728
217,0.09311208932036875
218,0.34000126515716683
219,-0.1269337534093825
220,0.02481851594258848
221,0.19405896567284278
222,0.1893583936160798
223,-0.30570847655173433
224,0.04150420125557233
225,0.07534631577088208
226,-0.31976958201575834
227,0.13386602231494532
228,0.11618867827888585
229,0.25087055562207955
230,0.17986494956071777
231,0.20176649771566346
232,-0.2300585561563926
233,-0.09689432388367719
234,-0.23452298982818842
235,0.04249121995518103
236,-0.186049876172879
237,-0.18261038506119318
238,-0.3700948135378909
239,0.33138560672863615
240,-0.2531730136878684
241,0.03363396323272077
242,0.2387878408754711
243,0.1208140037526059
244,-0.10427146380042034
245,0.11723606731807695
246,-0.14259535321301164
247,-0.2150832057491638
248,0.41919639054819735
249,0.008921274278534414
250,-0.16363696140470319
251,0.22683797007025888
252,0.4112878230072441
253,-0.26283197649108164
254,0.10333555296213777
255,0.04987767632671144
256,0.1736441423960831
257,0.21488745277645913
258,-0.19663141909059978
259,0.11853305171620236
260,0.07432908940382647
261,0.05558645952977324
262,-0.030316393884057016
263,0.00044642344630035105
264,0.2922106302776874
265,0.18470423641313508
266,0.23836258396500482
267,-0.1102858838108569
268,-0.02331567423347226
269,-0.2753587298941581
270,0.17331848343823492
271,-0.09775558155607847
272,-0.056796478662664726
273,0.45841382394552704
274,-0.2877441849293003
275,0.5334932160298312
276,-0.042016353580394274
277,-0.46557878142477727
278,0.1379836404177351
279,0.12945954195063875
280,0.10427064896263742
281,0.015332927897547765
282,0.31494442839895254
283,-0.0016103653226782642
284,0.6098819105528452
285,-0.2256082256910711
286,-0.2218737466113709
287,-0.0769108503940016
288,0.05929578269724695
289,0.07919807180121481
290,0.628509268034299
291,0.0630046427185349
292,0.026842530000722377
293,-0.3302599920152462
294,0.19499603428969883
295,-0.02098003985214234
296,-0.18205955479762603
297,-0.22842130746402003
298,-0.0577933881223288
299,-0.040365968400683044
300,-0.06373871739796673
301,0.0383686811161665
302,-0.08873838195895493
303,0.2850689426186434
304,-0.05101327765915524
305,0.16757804267869453
306,-0.07583586701422097
307,0.45417291019759787
308,0.3446790175953027
309,-0.3445626178377349
310,-0.13057831127479277
311,0.1782975342270746
312,0.032367958239968894
313,0.12811066529873558
314,0.12904052835261468
315,-0.12566082322051256
316,0.08895756623313164
317,0.14893840235990805
318,0.12165579067017385
319,0.04193049277555205
320,0.24094839785590716
321,-0.03578031451874057
322,0.10628916093498061
