Date,Adj Close,Close,High,Low,Open,Volume
2024-03-26,168.9124298095703,169.7100067138672,171.4199981689453,169.5800018310547,170.0,57388400
2024-03-27,172.49549865722656,173.30999755859375,173.60000610351562,170.11000061035156,170.41000366210938,60273300
2024-03-28,170.67408752441406,171.47999572753906,172.22999572753906,170.50999450683594,171.75,65672700
2024-04-01,169.23092651367188,170.02999877929688,171.25,169.47999572753906,171.19000244140625,46240500
2024-04-02,168.04649353027344,168.83999633789062,169.33999633789062,168.22999572753906,169.0800018310547,49329500
2024-04-03,168.8527069091797,169.64999389648438,170.67999267578125,168.5800018310547,168.7899932861328,47691700
2024-04-04,168.026611328125,168.82000732421875,171.9199981689453,168.82000732421875,170.2899932861328,53704400
2024-04-05,168.7830352783203,169.5800018310547,170.38999938964844,168.9499969482422,169.58999633789062,42055200
2024-04-08,167.65834045410156,168.4499969482422,169.1999969482422,168.24000549316406,169.02999877929688,37425500
2024-04-09,168.8726043701172,169.6699981689453,170.0800018310547,168.35000610351562,168.6999969482422,42451200
2024-04-10,166.99147033691406,167.77999877929688,169.08999633789062,167.11000061035156,168.8000030517578,49709300
2024-04-11,174.2173614501953,175.0399932861328,175.4600067138672,168.16000366210938,168.33999633789062,91070300
2024-04-12,175.72027587890625,176.5500030517578,178.36000061035156,174.2100067138672,174.25999450683594,101593300
2024-04-15,171.87841796875,172.69000244140625,176.6300048828125,172.5,175.36000061035156,73531800
2024-04-16,168.583984375,169.3800048828125,173.75999450683594,168.27000427246094,171.75,73711200
2024-04-17,167.21046447753906,168.0,170.64999389648438,168.0,169.61000061035156,50901200
2024-04-18,166.2549591064453,167.0399932861328,168.63999938964844,166.5500030517578,168.02999877929688,43122900
2024-04-19,164.2245635986328,165.0,166.39999389648438,164.0800018310547,166.2100067138672,67772100
2024-04-22,165.0605926513672,165.83999633789062,167.25999450683594,164.77000427246094,165.52000427246094,48116400
2024-04-23,166.11561584472656,166.89999389648438,167.0500030517578,164.9199981689453,165.35000610351562,49537800
2024-04-24,168.2256622314453,169.02000427246094,169.3000030517578,166.2100067138672,166.5399932861328,48251800
2024-04-25,169.09158325195312,169.88999938964844,170.61000061035156,168.14999389648438,169.52999877929688,50558300
2024-04-26,168.5043487548828,169.3000030517578,171.33999633789062,169.17999267578125,169.8800048828125,44838400
2024-04-29,172.68460083007812,173.5,176.02999877929688,173.10000610351562,173.3699951171875,68169400
2024-04-30,169.5294952392578,170.3300018310547,174.99000549316406,170.0,173.3300018310547,65934800
