Date,Adj Close,Close,High,Low,Open,Volume,decayed_sentiment,price_change
2024-03-26,168.9124298095703,169.7100067138672,171.4199981689453,169.5800018310547,170.0,57388400,0.0,
2024-03-27,172.49551391601562,173.30999755859375,173.60000610351562,170.11000061035156,170.41000366210938,60273300,0.0,0.021212602099510702
2024-03-28,170.67410278320312,171.47999572753906,172.22999572753906,170.50999450683594,171.75,65672700,0.0,-0.010559124440792766
2024-04-01,169.2309112548828,170.02999877929688,171.25,169.47999572753906,171.19000244140625,46240500,0.0,-0.008455779008450959
2024-04-02,168.0465087890625,168.83999633789062,169.33999633789062,168.22999572753906,169.0800018310547,49329500,0.0,-0.006998779332762939
2024-04-03,168.85269165039062,169.64999389648438,170.67999267578125,168.5800018310547,168.7899932861328,47691700,0.0,0.004797427008780275
2024-04-04,168.026611328125,168.82000732421875,171.9199981689453,168.82000732421875,170.2899932861328,53704400,0.0,-0.00489234660846527
2024-04-05,168.7830352783203,169.5800018310547,170.38999938964844,168.9499969482422,169.58999633789062,42055200,0.0,0.004501803541427263
2024-04-08,167.65834045410156,168.4499969482422,169.1999969482422,168.24000549316406,169.02999877929688,37425500,0.0,-0.0066635503633162285
2024-04-09,168.87261962890625,169.6699981689453,170.0800018310547,168.35000610351562,168.6999969482422,42451200,0.0,0.007242512572309456
2024-04-10,166.9915008544922,167.77999877929688,169.08999633789062,167.11000061035156,168.8000030517578,49709300,0.0,-0.01113926687125033
2024-04-11,174.21737670898438,175.0399932861328,175.4600067138672,168.16000366210938,168.33999633789062,91070300,0.0,0.04327091762818491
2024-04-12,175.72027587890625,176.5500030517578,178.36000061035156,174.2100067138672,174.25999450683594,101593300,0.0,0.00862665575607413
2024-04-15,171.87840270996094,172.69000244140625,176.6300048828125,172.5,175.36000061035156,73531800,0.0,-0.021863497839872292
2024-04-16,168.58399963378906,169.3800048828125,173.75999450683594,168.27000427246094,171.75,73711200,0.0,-0.019167279586534414
2024-04-17,167.21046447753906,168.0,170.64999389648438,168.0,169.61000061035156,50901200,0.0,-0.008147389556206863
2024-04-18,166.25494384765625,167.0399932861328,168.63999938964844,166.5500030517578,168.02999877929688,43122900,0.0,-0.0057143256777808515
2024-04-19,164.2245635986328,165.0,166.39999389648438,164.0800018310547,166.2100067138672,67772100,0.0,-0.012212603975853775
2024-04-22,165.06060791015625,165.83999633789062,167.25999450683594,164.77000427246094,165.52000427246094,48116400,0.0,0.005090886896306879
2024-04-23,166.11561584472656,166.89999389648438,167.0500030517578,164.9199981689453,165.35000610351562,49537800,0.0,0.006391688265803275
2024-04-24,168.22567749023438,169.02000427246094,169.3000030517578,166.2100067138672,166.5399932861328,48251800,0.0,0.012702279529689164
2024-04-25,169.09158325195312,169.88999938964844,170.61000061035156,168.14999389648438,169.52999877929688,50558300,0.0,0.005147290824730311
2024-04-26,168.5043487548828,169.3000030517578,171.33999633789062,169.17999267578125,169.8800048828125,44838400,0.0,-0.003472813820767917
2024-04-29,172.68460083007812,173.5,176.02999877929688,173.10000610351562,173.3699951171875,68169400,0.0,0.024808014604454476
2024-04-30,169.52951049804688,170.3300018310547,174.99000549316406,170.0,173.3300018310547,65934800,0.0,-0.01827088281812861
2024-05-01,168.5043487548828,169.3000030517578,172.7100067138672,169.11000061035156,169.5800018310547,50383100,0.0,-0.006047077838456816
2024-05-02,172.21682739257812,173.02999877929688,173.4199981689453,170.88999938964844,172.50999450683594,94214900,0.0,0.02203187040935095
2024-05-03,182.51817321777344,183.3800048828125,187.0,182.66000366210935,186.6499938964844,163224100,0.0,0.05981625253732603
2024-05-06,180.8560333251953,181.7100067138672,184.1999969482422,180.4199981689453,182.3500061035156,78569700,0.0,-0.009106762593950823
2024-05-07,181.54278564453125,182.3999938964844,184.8999938964844,181.32000732421875,183.4499969482422,77305800,0.0,0.0037971886914500708
2024-05-08,181.8811798095703,182.7400054931641,183.07000732421875,181.4499969482422,182.8500061035156,45057100,0.0,0.0018640987283840005
2024-05-09,183.70260620117188,184.57000732421875,184.66000366210935,182.1100006103516,182.55999755859372,48983000,0.0,0.010014237583697128
2024-05-10,182.4368438720703,183.0500030517578,185.08999633789065,182.1300048828125,184.8999938964844,50759500,0.0,-0.008235380680192916
2024-05-13,185.656005859375,186.27999877929688,187.1000061035156,184.6199951171875,185.44000244140625,72044800,0.0,0.017645428427694565
2024-05-14,186.8021697998047,187.42999267578125,188.3000030517578,186.2899932861328,187.50999450683597,52393600,0.0,0.006173469529849429
2024-05-15,189.08450317382807,189.72000122070312,190.6499938964844,187.3699951171875,187.91000366210935,70400000,0.0,0.012217940748059153
2024-05-16,189.2041015625,189.83999633789065,191.1000061035156,189.66000366210935,190.47000122070312,52845200,0.0,0.000632485327932919
2024-05-17,189.23399353027344,189.8699951171875,190.80999755859372,189.17999267578125,189.50999450683597,41282900,0.0,0.00015802138577503122
2024-05-20,190.40008544921875,191.0399932861328,191.9199981689453,189.00999450683597,189.3300018310547,44361300,0.0,0.006162101432736655
2024-05-21,191.7057037353516,192.3500061035156,192.72999572753903,190.9199981689453,191.08999633789065,42309400,0.0,0.006857270013722605
2024-05-22,190.2605438232422,190.8999938964844,192.82000732421875,190.2700042724609,192.2700042724609,34648500,0.0,-0.007538404788252739
2024-05-23,186.25401306152344,186.8800048828125,191.0,186.6300048828125,190.97999572753903,51005900,0.0,-0.02105808874908477
2024-05-24,189.3436279296875,189.97999572753903,190.5800018310547,188.0399932861328,188.82000732421875,36294600,0.0,0.01658813550797178
2024-05-28,189.3535919189453,189.9900054931641,193.0,189.1000061035156,191.50999450683597,52280100,0.0,5.268852431927762e-05
2024-05-29,189.652587890625,190.2899932861328,192.25,189.50999450683597,189.6100006103516,53068000,0.0,0.0015789661787208864
2024-05-30,190.6492462158203,191.2899932861328,192.17999267578125,190.6300048828125,190.75999450683597,49947900,0.0,0.005255137081729533
2024-05-31,191.60601806640625,192.25,192.57000732421875,189.91000366210935,191.44000244140625,75158300,0.0,0.005018593484036549
2024-06-03,193.38006591796875,194.02999877929688,194.9900054931641,192.5200042724609,192.8999938964844,50080500,0.0,0.009258771283728873
2024-06-04,193.6989898681641,194.3500061035156,195.32000732421875,193.02999877929688,194.63999938964844,47471400,0.0,0.0016492672588361845
2024-06-05,195.21389770507807,195.8699951171875,196.8999938964844,194.8699951171875,195.3999938964844,54156800,0.0,0.007820884826020169
2024-06-06,193.8285675048828,194.47999572753903,196.5,194.1699981689453,195.69000244140625,41181800,0.0,-0.007096540686677644
2024-06-07,196.23046875,196.88999938964844,196.94000244140625,194.13999938964844,194.6499938964844,53103900,0.0,0.01239203884745943
