topic,sentiment_score_avg,sentiment_score_std,article_count
5,0.9318851828575134,0.037941435966477026,2
19,0.7527058720588684,,1
46,0.9154176115989685,,1
95,0.9216007590293884,,1
158,0.9396053552627563,,1
162,0.9266425967216492,,1
345,0.9293828010559082,,1
490,0.9173438549041748,,1
